classname , cbo , dit , fanIn , fanOut , lcom , noc , numberOfAttributes , numberOfAttributesInherited , numberOfLinesOfCode , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , rfc , wmc , bugs ,,,,, 
ext::framework::a::importer::Activator ,6,1,0,6,3,0,0,0,15,3,9,0,1,0,2,14,3,0,,,,, 
org::eclipse::osgi::framework::internal::reliablefile::ReliableFile ,14,1,3,11,300,0,25,0,492,25,7,17,7,0,7,172,115,0,,,,, 
org::osgi::framework::ServiceEvent ,4,1,4,0,3,0,6,0,11,3,15,2,0,0,3,3,3,1,,,,, 
org::eclipse::osgi::framework::internal::core::BundleProtectionDomainImpl ,1,2,1,0,0,0,1,0,4,1,12,0,0,1,1,1,1,0,,,,, 
substitutes::z::Fz ,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,,,,, 
circularity::test::Activator ,2,1,0,2,1,0,0,0,6,2,9,0,0,0,2,8,2,0,,,,, 
org::eclipse::osgi::framework::internal::core::ConditionalPermissionSet ,12,2,3,9,45,0,6,0,153,10,20,6,1,0,4,34,39,0,,,,, 
org::eclipse::osgi::internal::module::BundleConstraint ,3,2,2,1,1,0,0,2,8,2,27,0,0,0,0,3,3,0,,,,, 
org::eclipse::osgi::internal::resolver::SystemState ,2,2,1,1,10,0,0,2,13,5,97,0,0,0,5,9,4,1,,,,, 
org::eclipse::osgi::internal::module::VersionSupplier ,10,1,8,2,36,3,2,0,21,9,7,1,0,0,5,12,7,0,,,,, 
org::osgi::framework::ServicePermission ,7,1,1,7,45,0,9,0,77,10,33,6,3,0,5,29,22,1,,,,, 
org::eclipse::osgi::framework::internal::core::FrameworkProperties ,22,1,18,4,6,0,2,0,24,4,7,2,0,0,4,17,8,0,,,,, 
nativetest::d::Activator ,4,1,0,4,1,0,0,0,8,2,9,0,0,0,2,8,2,0,,,,, 
substitutes::y::Ay ,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,,,,, 
org::eclipse::osgi::framework::internal::core::ConsoleMsg ,0,2,0,0,0,0,138,3,0,0,12,1,0,137,0,0,0,0,,,,, 
substitutes::x::Kx ,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,,,,, 
org::eclipse::equinox::launcher::Main ,40,1,3,37,2016,1,111,0,1805,64,7,82,47,2,3,836,410,3,,,,, 
nativetest::b2::Activator ,4,1,0,4,1,0,0,0,9,2,9,0,0,0,2,8,2,0,,,,, 
org::eclipse::osgi::internal::baseadaptor::DefaultClassLoader ,12,2,1,11,190,0,6,0,120,20,42,2,0,0,17,54,38,0,,,,, 
org::eclipse::osgi::framework::internal::core::StartLevelEvent ,1,1,1,0,6,0,6,0,15,4,15,4,0,0,4,4,4,0,,,,, 
org::eclipse::equinox::internal::launcher::Constants ,0,1,0,0,0,0,25,0,0,0,7,0,0,0,0,0,0,1,,,,, 
org::eclipse::osgi::tests::appadmin::SimpleApp ,2,1,0,2,1,0,2,0,30,2,7,2,0,0,2,10,5,0,,,,, 
org::eclipse::core::runtime::internal::stats::StatsManager ,17,1,3,16,210,0,19,8,149,21,14,11,3,7,18,108,38,0,,,,, 
org::eclipse::osgi::baseadaptor::bundlefile::DirZipBundleEntry ,3,2,1,3,21,0,2,1,32,7,15,1,0,1,7,14,9,0,,,,, 
org::eclipse::osgi::framework::internal::core::BundlePermissionCollection ,2,1,2,0,0,2,1,0,0,1,19,1,0,0,0,1,0,0,,,,, 
org::eclipse::osgi::util::TextProcessor ,5,1,2,3,15,0,10,0,114,6,7,10,3,0,3,36,34,1,,,,, 
org::eclipse::osgi::framework::internal::core::DependentPolicy ,5,1,1,4,15,1,3,0,83,6,10,0,2,3,4,35,24,1,,,,, 
org::eclipse::osgi::internal::resolver::GenericSpecificationImpl ,12,3,4,8,91,0,4,2,65,14,47,4,0,0,9,35,31,2,,,,, 
org::eclipse::osgi::tests::services::resolver::SimplePlatformAdmin ,2,2,0,2,0,0,0,7,4,1,38,0,0,0,1,3,1,0,,,,, 
org::eclipse::core::runtime::internal::adaptor::Locker_JavaNio ,6,1,1,5,6,0,3,0,73,4,10,3,0,0,4,20,10,0,,,,, 
thread::locktest::Class1 ,1,1,1,0,0,0,0,0,0,1,7,0,0,0,1,1,0,0,,,,, 
legacy::lazystart::b::excluded::b::BBExcluded ,1,1,1,0,0,0,0,0,0,1,7,0,0,0,1,1,0,0,,,,, 
org::eclipse::osgi::internal::signedcontent::PKCS7DateParser ,1,1,1,1,1,0,0,0,27,2,7,0,1,0,0,15,6,0,,,,, 
chain::test::d::Activator ,2,1,0,2,1,0,0,0,6,2,9,0,0,0,2,8,2,0,,,,, 
substitutes::y::Ny ,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,,,,, 
osgi::lazystart::LazySimple ,1,1,0,1,0,0,0,0,3,1,8,0,0,0,1,2,1,0,,,,, 
substitutes::x::Ix ,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,,,,, 
org::eclipse::osgi::internal::module::ResolverExport ,5,2,4,1,15,0,1,1,19,6,16,1,0,0,2,11,6,0,,,,, 
org::eclipse::osgi::internal::resolver::StateObjectFactoryImpl ,30,1,1,29,210,0,0,1,221,21,19,0,5,0,16,177,46,0,,,,, 
org::eclipse::osgi::framework::internal::core::StartLevelManager ,26,1,6,21,406,0,8,0,430,29,23,3,8,0,11,199,109,4,,,,, 
org::eclipse::core::runtime::internal::adaptor::EclipseAppLauncher ,13,1,1,12,21,0,8,0,100,7,9,8,2,0,5,45,30,0,,,,, 
org::eclipse::osgi::framework::internal::core::Msg ,0,2,0,0,0,0,62,3,0,0,12,1,0,61,0,0,0,1,,,,, 
org::eclipse::osgi::internal::resolver::BundleDescriptionImpl ,24,2,9,17,2775,0,26,0,425,75,48,11,2,0,35,180,147,3,,,,, 
org::eclipse::core::runtime::internal::adaptor::Locker_JavaIo ,3,1,1,2,6,0,2,0,44,4,10,2,0,0,4,14,9,0,,,,, 
org::eclipse::osgi::internal::resolver::StateMsg ,0,2,0,0,0,0,22,3,0,0,12,1,0,21,0,0,0,1,,,,, 
org::eclipse::osgi::framework::internal::core::BundleSource ,0,1,0,0,3,0,1,2,10,3,13,1,0,0,2,3,3,0,,,,, 
org::eclipse::osgi::storagemanager::StorageManager ,21,1,6,16,378,0,22,0,503,28,7,22,13,0,13,252,122,1,,,,, 
org::osgi::framework::FrameworkEvent ,10,1,10,0,6,0,10,0,15,4,15,3,0,0,4,4,4,2,,,,, 
org::eclipse::osgi::internal::resolver::StateDeltaImpl ,5,1,2,3,36,0,2,0,95,9,9,2,0,0,3,57,28,1,,,,, 
org::eclipse::osgi::framework::internal::core::SystemBundleActivator ,7,1,0,7,6,0,8,0,55,4,9,0,0,0,3,30,14,1,,,,, 
org::eclipse::osgi::framework::internal::core::AliasMapper ,9,1,2,7,6,0,2,0,98,4,7,2,0,0,3,36,22,0,,,,, 
org::eclipse::osgi::baseadaptor::bundlefile::DirBundleFile ,6,2,1,5,21,0,0,3,62,7,20,0,0,0,7,29,14,0,,,,, 
legacy::lazystart::b::excluded::a::BAExcluded ,1,1,1,0,0,0,0,0,0,1,7,0,0,0,1,1,0,0,,,,, 
substitutes::y::Ly ,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,,,,, 
org::eclipse::osgi::framework::internal::reliablefile::ReliableFileOutputStream ,6,1,1,5,10,0,3,1,54,5,27,3,1,0,4,22,10,0,,,,, 
org::eclipse::osgi::internal::module::VersionHashMap ,9,2,2,8,21,0,1,1,63,7,13,1,1,0,4,41,28,2,,,,, 
org::eclipse::osgi::framework::internal::core::MultiSourcePackage ,2,2,1,2,10,0,1,1,31,5,22,0,0,1,4,9,10,1,,,,, 
org::eclipse::osgi::internal::provisional::service::security::AuthorizationEvent ,5,1,5,0,10,0,6,0,18,5,7,4,0,0,5,5,5,0,,,,, 
org::eclipse::core::runtime::internal::adaptor::EclipseCommandProvider ,17,1,1,16,45,0,3,0,188,10,8,3,4,0,6,115,37,0,,,,, 
org::eclipse::core::runtime::internal::stats::BundleStats ,3,1,1,2,231,0,11,0,73,22,7,8,0,3,14,28,26,0,,,,, 
legacy::lazystart::FalseExceptionLegacy2 ,1,1,0,1,0,0,0,0,3,1,8,0,0,0,1,2,1,0,,,,, 
org::osgi::service::permissionadmin::PermissionInfo ,7,1,3,4,45,0,3,0,217,10,7,3,2,0,8,55,57,1,,,,, 
org::eclipse::osgi::baseadaptor::bundlefile::MRUBundleFileList ,7,1,2,5,55,0,11,0,125,11,8,11,3,0,8,36,33,1,,,,, 
org::eclipse::core::runtime::internal::adaptor::PluginParser ,16,1,2,14,435,0,20,62,403,30,35,17,2,3,27,219,107,1,,,,, 
osgi::lazystart::c::excluded::b::CBExcluded ,1,1,1,0,0,0,0,0,0,1,7,0,0,0,1,1,0,0,,,,, 
org::eclipse::osgi::tests::bundles::BundleInstaller ,19,1,9,10,66,0,7,0,155,12,7,7,0,0,12,83,30,3,,,,, 
substitutes::y::Jy ,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,,,,, 
host::multiple::exports::PublicClass2 ,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,,,,, 
org::eclipse::osgi::internal::resolver::VersionConstraintImpl ,14,2,11,4,45,5,4,0,36,10,20,4,0,0,6,15,13,1,,,,, 
org::eclipse::osgi::framework::eventmgr::EventThread ,5,1,2,4,15,0,4,0,70,6,27,4,2,0,1,16,16,0,,,,, 
legacy::lazystart::SimpleLegacy ,1,1,0,1,0,0,0,0,3,1,8,0,0,0,1,2,1,0,,,,, 
org::eclipse::osgi::internal::signedcontent::Base64 ,1,1,1,0,3,0,2,0,153,3,7,1,0,1,2,7,28,0,,,,, 
org::eclipse::osgi::internal::baseadaptor::BasePermissionStorage ,2,1,1,2,28,0,5,0,49,8,12,5,0,0,7,21,13,0,,,,, 
host::multiple::exports::PrivateClass2 ,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,,,,, 
org::eclipse::osgi::framework::internal::core::ServiceRegistryImpl ,2,1,1,1,15,0,3,0,110,6,11,0,0,0,6,37,17,1,,,,, 
org::eclipse::core::runtime::internal::stats::ResourceBundleStats ,4,1,0,4,55,0,7,0,56,11,7,7,2,0,9,26,13,0,,,,, 
org::eclipse::core::runtime::internal::adaptor::EclipseClassLoadingHook ,16,1,0,16,78,0,4,0,180,13,14,4,5,0,8,101,57,0,,,,, 
org::eclipse::osgi::internal::signedcontent::SignedContentImpl ,13,1,7,6,91,0,6,0,86,14,14,4,1,1,8,43,33,0,,,,, 
org::eclipse::osgi::baseadaptor::bundlefile::BundleEntry ,12,1,10,2,28,4,1,0,49,8,7,0,0,0,8,18,11,0,,,,, 
org::eclipse::osgi::internal::module::ResolverImpl ,39,1,5,38,2016,0,32,0,1543,64,17,25,49,7,11,1009,534,3,,,,, 
osgi::lazystart::c::excluded::a::CAExcluded ,1,1,1,0,0,0,0,0,0,1,7,0,0,0,1,1,0,0,,,,, 
nativetest::c::Activator ,4,1,0,4,1,0,0,0,8,2,9,0,0,0,2,8,2,0,,,,, 
org::eclipse::osgi::framework::internal::protocol::MultiplexingURLStreamHandler ,10,1,1,10,66,0,14,0,173,12,16,14,1,0,1,121,23,0,,,,, 
org::eclipse::osgi::service::resolver::DisabledInfo ,11,1,9,2,10,0,3,0,28,5,7,3,0,0,5,11,13,2,,,,, 
substitutes::q::AFq ,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,,,,, 
legacy::lazystart::TrueExceptionLegacy1 ,2,1,0,2,0,0,0,0,4,1,8,0,0,0,1,3,1,0,,,,, 
org::eclipse::osgi::framework::internal::core::Framework ,77,1,18,67,1653,0,45,0,1250,58,17,14,21,7,13,523,251,13,,,,, 
org::osgi::service::condpermadmin::ConditionInfo ,8,1,4,4,36,0,2,0,186,9,7,2,2,0,7,51,46,1,,,,, 
org::eclipse::osgi::framework::internal::core::PermissionsHash ,4,1,1,3,6,0,2,0,30,4,19,1,0,1,4,14,9,0,,,,, 
org::eclipse::osgi::service::pluginconversion::PluginConversionException ,0,1,0,0,1,0,2,0,6,2,18,2,0,0,2,2,2,0,,,,, 
nativetest::b1::Activator ,4,1,0,4,1,0,0,0,9,2,9,0,0,0,2,8,2,0,,,,, 
org::eclipse::osgi::internal::signedcontent::BERProcessor ,5,1,1,4,45,0,20,0,145,10,7,0,0,9,10,38,39,0,,,,, 
org::eclipse::osgi::framework::log::FrameworkLogEntry ,21,1,21,0,28,0,12,0,30,8,7,7,0,0,8,8,8,0,,,,, 
exporter::importer::Activator ,1,1,0,1,1,0,0,0,7,2,9,0,0,0,2,3,2,0,,,,, 
org::eclipse::osgi::internal::baseadaptor::DevClassLoadingHook ,6,1,0,6,55,0,2,0,61,11,17,0,0,0,11,27,21,0,,,,, 
org::eclipse::core::runtime::internal::stats::ClassloaderStats ,12,1,3,10,190,0,11,0,172,20,7,10,7,1,12,102,36,0,,,,, 
org::eclipse::core::runtime::internal::adaptor::ClasspathManifest ,10,1,1,9,15,0,4,0,47,6,10,2,1,0,5,23,15,0,,,,, 
org::eclipse::osgi::internal::resolver::StateHelperImpl ,16,1,4,13,171,0,1,3,248,19,15,1,10,0,9,171,98,4,,,,, 
circularity::test::a::Activator ,4,1,0,4,1,0,0,0,11,2,9,0,0,0,2,11,2,0,,,,, 
org::osgi::framework::PackagePermission ,7,1,1,7,45,0,9,0,76,10,33,6,3,0,5,29,22,1,,,,, 
org::eclipse::osgi::internal::resolver::StateWriter ,34,1,1,33,435,0,2,0,501,30,7,2,27,0,2,341,119,1,,,,, 
org::eclipse::osgi::framework::internal::core::FrameworkSecurityManager ,7,1,3,4,21,0,1,0,121,7,12,0,1,1,5,71,29,0,,,,, 
org::eclipse::core::runtime::internal::adaptor::BundleLocalizationImpl ,2,1,1,1,1,0,0,0,3,2,8,0,0,0,2,3,1,0,,,,, 
org::eclipse::osgi::internal::module::PermissionChecker ,10,1,2,9,1,0,3,0,48,2,7,3,0,0,2,28,18,0,,,,, 
org::eclipse::osgi::framework::internal::core::SecurePermissionStorage ,3,1,1,2,21,0,10,0,69,7,12,10,0,0,7,23,12,0,,,,, 
org::eclipse::core::runtime::internal::adaptor::EclipseLogHook ,16,1,0,16,66,0,2,0,81,12,17,1,2,1,10,53,18,1,,,,, 
org::eclipse::osgi::framework::internal::core::SystemBundle ,18,3,2,17,153,0,1,18,103,18,111,0,0,1,7,44,22,2,,,,, 
chain::test::c::Activator ,2,1,0,2,1,0,0,0,6,2,9,0,0,0,2,8,2,0,,,,, 
org::eclipse::osgi::framework::internal::core::PackageSource ,6,1,5,2,66,3,1,0,39,12,10,0,0,0,12,18,15,1,,,,, 
org::eclipse::osgi::framework::internal::core::ServiceRegistrationImpl ,12,1,4,10,136,0,15,0,336,17,10,10,1,5,4,79,59,1,,,,, 
org::eclipse::osgi::framework::internal::protocol::reference::ReferenceURLConnection ,7,1,1,6,21,0,1,2,48,7,13,0,2,0,4,27,15,0,,,,, 
org::eclipse::osgi::internal::profile::DefaultProfileLogger ,14,1,1,13,253,0,24,0,294,23,12,2,0,0,6,122,73,0,,,,, 
org::eclipse::osgi::internal::module::GenericCapability ,4,2,2,3,6,0,1,1,13,4,16,0,0,1,3,7,4,0,,,,, 
org::eclipse::osgi::framework::internal::core::PolicyHandler ,10,1,2,9,36,0,11,0,143,9,7,9,3,2,5,66,41,2,,,,, 
org::eclipse::osgi::framework::internal::core::ServiceUse ,9,1,1,8,6,0,5,0,133,4,7,5,0,0,0,48,17,2,,,,, 
org::eclipse::osgi::internal::resolver::BundleDeltaImpl ,5,2,1,4,28,0,2,9,45,8,10,2,1,0,5,26,19,1,,,,, 
org::eclipse::osgi::internal::profile::Profile ,9,1,4,5,28,0,21,0,92,8,7,12,1,3,7,46,26,0,,,,, 
org::eclipse::core::runtime::internal::adaptor::URLConverterImpl ,3,1,1,2,3,0,0,0,12,3,9,0,0,0,3,7,4,1,,,,, 
org::eclipse::core::runtime::internal::adaptor::ContextFinder ,6,1,1,5,45,0,4,0,108,10,24,2,4,2,3,55,36,0,,,,, 
org::eclipse::osgi::baseadaptor::bundlefile::BundleFile ,28,1,21,8,91,5,4,0,55,14,7,1,1,0,11,39,17,2,,,,, 
legacy::lazystart::c::Activator ,2,1,0,2,1,0,0,0,6,2,9,0,0,0,2,8,2,0,,,,, 
chain::test::b::BChain ,0,1,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,,,,, 
ext::extclasspath::a::importer::Activator ,6,1,0,6,3,0,0,0,15,3,9,0,1,0,2,14,3,0,,,,, 
org::eclipse::osgi::internal::signedcontent::TrustEngineListener ,17,1,3,15,36,0,3,0,130,9,7,3,3,0,3,72,35,1,,,,, 
substitutes::x::Ax ,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,,,,, 
org::eclipse::osgi::internal::resolver::BaseDescriptionImpl ,7,1,7,0,6,4,2,0,14,4,10,2,0,0,2,4,5,1,,,,, 
org::eclipse::core::runtime::internal::adaptor::EclipseLazyStarter ,24,1,0,24,171,0,7,0,196,19,22,7,4,0,15,107,65,1,,,,, 
org::eclipse::core::runtime::adaptor::LocationManager ,18,1,8,10,171,0,35,0,244,19,7,14,10,0,9,149,72,2,,,,, 
org::eclipse::osgi::internal::signedcontent::PKCS7Processor ,19,1,2,18,153,0,12,28,369,18,7,11,9,1,8,147,62,1,,,,, 
org::eclipse::osgi::internal::signedcontent::SignatureBlockProcessor ,20,1,2,19,136,0,5,28,399,17,7,5,14,0,2,171,73,1,,,,, 
org::eclipse::osgi::framework::internal::protocol::MultiplexingFactory ,14,1,3,11,45,2,6,0,94,10,7,3,1,0,8,72,22,0,,,,, 
org::eclipse::core::runtime::internal::adaptor::EclipseEnvironmentInfo ,9,1,5,4,171,0,16,0,160,19,18,13,2,3,17,66,46,0,,,,, 
org::eclipse::osgi::internal::signedcontent::BundleInstallListener ,6,3,1,5,1,0,0,0,19,2,15,0,0,0,2,9,5,0,,,,, 
org::eclipse::core::runtime::internal::adaptor::Semaphore ,6,1,4,2,6,0,1,0,28,4,7,0,0,0,4,8,7,0,,,,, 
osgi::lazystart::LazyExclude1 ,2,1,0,2,0,0,0,0,4,1,8,0,0,0,1,3,1,0,,,,, 
substitutes::x::Nx ,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,,,,, 
osgi::lazystart::b::excluded::b::BBExcluded ,1,1,1,0,0,0,0,0,0,1,7,0,0,0,1,1,0,0,,,,, 
org::eclipse::equinox::launcher::WebStartMain ,16,2,0,16,78,0,6,29,198,13,24,6,8,0,2,118,49,1,,,,, 
org::eclipse::core::runtime::internal::adaptor::LocationHelper ,5,1,2,3,1,0,0,0,27,2,7,0,1,0,1,18,7,0,,,,, 
org::eclipse::core::runtime::internal::adaptor::DefaultStartupMonitor ,9,1,1,8,3,0,2,0,32,3,9,2,0,0,3,16,6,0,,,,, 
org::eclipse::osgi::framework::internal::protocol::ContentHandlerFactory ,18,2,2,17,15,0,7,3,107,6,24,7,0,0,6,46,23,0,,,,, 
osgi::lazystart::c::Activator ,2,1,0,2,1,0,0,0,6,2,9,0,0,0,2,8,2,0,,,,, 
org::eclipse::osgi::framework::internal::core::BundleResourceHandler ,15,1,1,14,78,2,4,0,210,13,17,1,0,0,2,107,67,2,,,,, 
org::eclipse::osgi::framework::internal::core::BundleHost ,28,2,10,22,210,1,3,16,456,21,91,1,1,0,5,174,126,7,,,,, 
org::eclipse::core::runtime::internal::adaptor::BasicLocation ,13,1,2,11,136,0,10,5,140,17,19,8,4,1,13,69,44,2,,,,, 
org::eclipse::osgi::internal::resolver::GenericDescriptionImpl ,7,2,4,3,28,0,3,1,30,8,19,3,0,0,5,18,10,1,,,,, 
org::eclipse::osgi::framework::internal::core::FrameworkCommandProvider ,46,3,1,45,2145,0,9,0,1434,66,16,9,6,0,54,677,288,5,,,,, 
osgi::lazystart::LazyInclude1 ,2,1,0,2,0,0,0,0,4,1,8,0,0,0,1,3,1,0,,,,, 
org::eclipse::osgi::framework::internal::core::FrameworkCommandInterpreter ,16,1,1,16,171,0,10,0,289,19,14,8,7,0,10,137,64,0,,,,, 
org::eclipse::osgi::internal::baseadaptor::SystemBundleData ,17,2,1,17,91,0,1,9,138,14,80,1,5,0,9,58,28,2,,,,, 
org::eclipse::osgi::internal::baseadaptor::BundleUpdate ,17,1,1,17,6,0,4,0,97,4,10,4,0,0,4,72,15,0,,,,, 
org::eclipse::osgi::internal::resolver::StateReader ,23,1,3,22,630,0,16,0,596,36,7,9,29,0,3,331,146,2,,,,, 
org::eclipse::osgi::internal::signedcontent::SignedBundleFile ,12,2,4,10,190,0,3,31,124,20,27,2,1,1,14,67,52,0,,,,, 
org::eclipse::osgi::framework::internal::core::ConditionalPermissionInfoImpl ,16,1,4,13,55,0,11,0,182,11,18,9,1,2,6,68,48,0,,,,, 
org::eclipse::osgi::internal::signedcontent::SignedContentMessages ,0,2,0,0,0,0,17,3,0,0,12,3,0,14,0,0,0,0,,,,, 
org::eclipse::osgi::framework::eventmgr::EventListeners ,10,1,6,4,15,0,5,0,88,6,7,5,1,0,4,18,22,2,,,,, 
xfriends::test3::Activator ,2,1,0,2,1,0,0,0,15,2,9,0,0,0,2,10,2,0,,,,, 
org::eclipse::osgi::util::NLS ,26,1,11,16,28,6,7,0,214,8,7,4,3,0,2,79,48,0,,,,, 
org::eclipse::osgi::framework::debug::Debug ,21,1,15,6,3,0,32,0,33,3,7,0,0,16,3,18,11,0,,,,, 
org::eclipse::osgi::framework::internal::core::PackageAdminImpl ,39,1,6,37,300,0,1,1,535,25,17,0,10,0,10,268,187,7,,,,, 
